Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:48:12,2020-12-09 17:48:13,0.723s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:48:13,2020-12-09 17:48:49,35.839s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:13,2020-12-09 17:48:38,25.045s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:38,2020-12-09 17:48:39,0.446s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:39,2020-12-09 17:48:39,0.619s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor_2""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:39,2020-12-09 17:48:40,0.607s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Btn_capturaT""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:40,2020-12-09 17:48:41,0.710s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/razon_social""), razon_s, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:41,2020-12-09 17:48:41,0.895s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/contrato""), contrato, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:41,2020-12-09 17:48:42,0.435s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/fecha""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:42,2020-12-09 17:48:43,0.734s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/year""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:43,2020-12-09 17:48:43,0.636s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/Year2025""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:43,2020-12-09 17:48:44,0.572s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/month""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:44,2020-12-09 17:48:44,0.608s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/december""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:44,2020-12-09 17:48:45,0.651s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:45,2020-12-09 17:48:46,0.696s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:48:46,2020-12-09 17:48:48,2.003s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:48,2020-12-09 17:48:48,0.354s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:48:48,2020-12-09 17:48:49,0.787s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:48:49,2020-12-09 17:49:25,36.096s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:48:49,2020-12-09 17:49:14,25.421s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:14,2020-12-09 17:49:15,0.461s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:15,2020-12-09 17:49:15,0.579s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor_2""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:15,2020-12-09 17:49:16,0.666s,PASSED
